IBGE,Municipio,Population,Date,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
2200954,Aroeiras do Itaim,2551,2021-11-06,2998,1723,1303
4215604,Santa Rosa de Lima,2151,2021-11-08,3214,1639,1414
1600212,Cutias,6217,2021-11-09,4698,2938,1728
3556958,Vitória Brasil,1852,2021-11-09,3323,1742,1465
4312351,Montauri,1430,2021-11-09,3046,1470,1350
1200393,Porto Walter,12497,2021-11-10,12072,6912,5184
2514651,São José do Brejo do Cruz,1821,2021-11-10,2206,1211,914
3106804,Bias Fortes,3282,2021-11-10,4003,2407,1623
3513850,Dirce Reis,1805,2021-11-10,3456,1599,1598
4209458,Lajeado Grande,1408,2021-11-10,1986,1075,942
4300661,André da Rocha,1351,2021-11-10,2278,1151,1017
4303558,Camargo,2750,2021-11-10,3978,2176,1748
4304853,Carlos Gomes,1327,2021-11-10,2802,1394,1258
4310900,Jacutinga,3532,2021-11-10,6340,3104,2826
4315073,Porto Vera Cruz,1258,2021-11-10,3097,1600,1398
4315172,Protásio Alves,1929,2021-11-10,3505,1744,1593
1200054,Assis Brasil,7649,2021-11-11,8617,5044,3518
1200138,Bujari,10572,2021-11-11,9188,5424,3785
1200328,Jordão,8628,2021-11-11,7633,4295,3235
1200344,Manoel Urbano,9701,2021-11-11,9485,5448,4066
1200807,Porto Acre,19141,2021-11-11,11160,7233,4218
1301506,Envira,20748,2021-11-11,15595,9688,6038
1301654,Guajará,17193,2021-11-11,9614,6014,3459
1506401,Santa Cruz do Arari,10496,2021-11-11,3991,3086,978
1600253,Itaubal,5730,2021-11-11,3696,2581,1116
1704105,Centenário,2966,2021-11-11,2775,1600,1109
1711803,Juarina,2174,2021-11-11,2547,1513,992
1720150,São Félix do Tocantins,1610,2021-11-11,1795,1044,718
2206308,Miguel Leão,1239,2021-11-11,1496,922,537
2512606,Quixaba,2009,2021-11-11,2438,1391,978
2805000,Pedra Mole,3309,2021-11-11,4373,2383,1865
3103603,Arantina,2779,2021-11-11,3337,2105,1217
