Date,IBGE6,Type,N
2021-01-17,270380,FirstDose,1
2021-01-18,270010,FirstDose,2
2021-01-18,270170,FirstDose,2
2021-01-18,270170,SecondDose,3
2021-01-18,270190,FirstDose,1
2021-01-18,270330,FirstDose,1
2021-01-18,270375,SecondDose,1
2021-01-18,270430,FirstDose,2
2021-01-18,270500,SecondDose,1
2021-01-18,270770,SecondDose,1
2021-01-18,270930,FirstDose,2
2021-01-19,160030,FirstDose,1
2021-01-19,211130,FirstDose,1
2021-01-19,230420,FirstDose,1
2021-01-19,230440,FirstDose,1
2021-01-19,250370,FirstDose,1
2021-01-19,251620,FirstDose,1
2021-01-19,260110,FirstDose,1
2021-01-19,260210,FirstDose,1
2021-01-19,260960,FirstDose,1
2021-01-19,261020,FirstDose,1
2021-01-19,261110,FirstDose,1
2021-01-19,261160,FirstDose,2
2021-01-19,261460,FirstDose,1
2021-01-19,270010,FirstDose,2
2021-01-19,270020,FirstDose,1
2021-01-19,270030,FirstDose,47
2021-01-19,270040,FirstDose,3
2021-01-19,270050,FirstDose,1
2021-01-19,270170,FirstDose,1
2021-01-19,270190,FirstDose,1
2021-01-19,270210,FirstDose,2
2021-01-19,270230,FirstDose,4
2021-01-19,270235,FirstDose,1
2021-01-19,270240,FirstDose,1
2021-01-19,270255,FirstDose,1
2021-01-19,270310,FirstDose,2
2021-01-19,270320,FirstDose,1
2021-01-19,270350,FirstDose,1
2021-01-19,270360,FirstDose,2
2021-01-19,270375,FirstDose,2
2021-01-19,270380,FirstDose,1
2021-01-19,270410,FirstDose,1
2021-01-19,270430,FirstDose,289
2021-01-19,270430,SecondDose,1
2021-01-19,270460,FirstDose,1
2021-01-19,270470,FirstDose,8
2021-01-19,270500,FirstDose,2
2021-01-19,270510,FirstDose,5
2021-01-19,270550,FirstDose,4
2021-01-19,270630,FirstDose,2
2021-01-19,270640,FirstDose,1
2021-01-19,270644,FirstDose,1
2021-01-19,270650,FirstDose,2
2021-01-19,270670,FirstDose,2
2021-01-19,270690,FirstDose,2
2021-01-19,270690,SecondDose,1
2021-01-19,270720,FirstDose,1
2021-01-19,270730,FirstDose,24
2021-01-19,270750,FirstDose,2
2021-01-19,270770,FirstDose,8
2021-01-19,270800,FirstDose,2
2021-01-19,270810,FirstDose,1
2021-01-19,270850,FirstDose,2
2021-01-19,270860,FirstDose,4
2021-01-19,270900,FirstDose,1
2021-01-19,270915,FirstDose,1
2021-01-19,270915,SecondDose,1
2021-01-19,270920,FirstDose,2
2021-01-19,270930,FirstDose,3
2021-01-19,270940,FirstDose,1
2021-01-19,280030,FirstDose,1
2021-01-19,280120,FirstDose,1
2021-01-19,280440,FirstDose,1
2021-01-19,291800,FirstDose,1
2021-01-19,292400,FirstDose,1
2021-01-19,310620,FirstDose,1
2021-01-19,314310,FirstDose,1
2021-01-19,315210,FirstDose,1
2021-01-19,316970,FirstDose,1
2021-01-19,350470,FirstDose,1
2021-01-19,350600,FirstDose,1
2021-01-19,354100,FirstDose,1
2021-01-19,354580,FirstDose,1
2021-01-19,355030,FirstDose,4
2021-01-19,510340,FirstDose,1
2021-01-19,520110,FirstDose,1
2021-01-19,530010,FirstDose,1
2021-01-20,130014,FirstDose,1
2021-01-20,150080,FirstDose,1
2021-01-20,150543,FirstDose,1
2021-01-20,150616,FirstDose,1
2021-01-20,170210,FirstDose,1
2021-01-20,172065,FirstDose,1
2021-01-20,220190,FirstDose,1
2021-01-20,220800,FirstDose,1
2021-01-20,230440,FirstDose,3
2021-01-20,231180,FirstDose,1
2021-01-20,231180,SecondDose,1
2021-01-20,240470,FirstDose,1
2021-01-20,240810,FirstDose,1
2021-01-20,250400,FirstDose,2
2021-01-20,250460,FirstDose,1
2021-01-20,250750,FirstDose,4
2021-01-20,250970,FirstDose,2
2021-01-20,251150,FirstDose,1
2021-01-20,251340,FirstDose,1
2021-01-20,260210,FirstDose,1
2021-01-20,260410,FirstDose,1
2021-01-20,260470,FirstDose,1
2021-01-20,260500,FirstDose,1
2021-01-20,260600,FirstDose,6
2021-01-20,260700,FirstDose,1
2021-01-20,260860,FirstDose,1
2021-01-20,260960,FirstDose,1
2021-01-20,261110,FirstDose,1
2021-01-20,261160,FirstDose,7
2021-01-20,261450,FirstDose,1
2021-01-20,261485,FirstDose,1
2021-01-20,261590,FirstDose,1
2021-01-20,270020,FirstDose,9
2021-01-20,270030,FirstDose,164
2021-01-20,270040,FirstDose,18
2021-01-20,270050,FirstDose,3
2021-01-20,270060,FirstDose,3
2021-01-20,270070,FirstDose,8
2021-01-20,270090,FirstDose,1
2021-01-20,270100,FirstDose,4
2021-01-20,270130,FirstDose,2
2021-01-20,270140,FirstDose,4
2021-01-20,270170,FirstDose,5
2021-01-20,270190,FirstDose,1
2021-01-20,270200,FirstDose,2
2021-01-20,270210,FirstDose,2
2021-01-20,270220,FirstDose,2
2021-01-20,270230,FirstDose,6
2021-01-20,270235,FirstDose,1
2021-01-20,270240,FirstDose,3
2021-01-20,270260,FirstDose,6
2021-01-20,270270,FirstDose,1
2021-01-20,270280,FirstDose,4
2021-01-20,270290,FirstDose,1
2021-01-20,270300,FirstDose,2
2021-01-20,270310,FirstDose,2
2021-01-20,270350,FirstDose,2
2021-01-20,270370,FirstDose,4
2021-01-20,270380,FirstDose,2
2021-01-20,270390,FirstDose,6
2021-01-20,270400,FirstDose,1
2021-01-20,270410,FirstDose,7
2021-01-20,270430,FirstDose,1281
2021-01-20,270430,SecondDose,3
2021-01-20,270440,FirstDose,2
2021-01-20,270450,FirstDose,1
2021-01-20,270460,FirstDose,1
2021-01-20,270470,FirstDose,69
2021-01-20,270470,SecondDose,1
2021-01-20,270480,FirstDose,2
2021-01-20,270490,FirstDose,2
2021-01-20,270500,FirstDose,2
2021-01-20,270510,FirstDose,12
2021-01-20,270520,FirstDose,2
2021-01-20,270550,FirstDose,7
2021-01-20,270570,FirstDose,4
2021-01-20,270580,FirstDose,1
2021-01-20,270590,FirstDose,1
2021-01-20,270630,FirstDose,20
2021-01-20,270640,FirstDose,6
2021-01-20,270642,FirstDose,1
2021-01-20,270644,FirstDose,12
2021-01-20,270650,FirstDose,1
2021-01-20,270660,FirstDose,1
2021-01-20,270670,FirstDose,9
2021-01-20,270680,FirstDose,14
2021-01-20,270690,FirstDose,37
2021-01-20,270690,SecondDose,3
2021-01-20,270700,FirstDose,1
2021-01-20,270710,FirstDose,4
2021-01-20,270730,FirstDose,57
2021-01-20,270740,FirstDose,1
2021-01-20,270750,FirstDose,1
2021-01-20,270760,FirstDose,2
2021-01-20,270770,FirstDose,28
2021-01-20,270780,FirstDose,1
2021-01-20,270790,FirstDose,1
2021-01-20,270800,FirstDose,8
2021-01-20,270810,FirstDose,1
2021-01-20,270820,FirstDose,1
2021-01-20,270830,FirstDose,3
2021-01-20,270840,FirstDose,3
2021-01-20,270850,FirstDose,9
2021-01-20,270860,FirstDose,71
2021-01-20,270880,FirstDose,2
2021-01-20,270890,FirstDose,7
2021-01-20,270895,FirstDose,1
2021-01-20,270900,FirstDose,2
2021-01-20,270910,FirstDose,4
2021-01-20,270915,FirstDose,3
2021-01-20,270920,FirstDose,2
2021-01-20,270930,FirstDose,12
2021-01-20,270940,FirstDose,3
2021-01-20,280030,FirstDose,11
2021-01-20,280060,FirstDose,1
2021-01-20,280300,FirstDose,1
2021-01-20,280560,FirstDose,1
2021-01-20,280670,FirstDose,1
2021-01-20,291190,FirstDose,1
2021-01-20,292400,FirstDose,1
2021-01-20,292740,FirstDose,2
2021-01-20,293010,FirstDose,1
2021-01-20,310260,FirstDose,1
2021-01-20,310620,FirstDose,1
2021-01-20,311340,FirstDose,2
2021-01-20,320150,FirstDose,1
2021-01-20,330020,FirstDose,1
2021-01-20,330040,FirstDose,1
2021-01-20,330455,FirstDose,1
2021-01-20,330490,FirstDose,1
2021-01-20,330610,FirstDose,1
2021-01-20,350320,FirstDose,1
2021-01-20,351110,FirstDose,1
2021-01-20,353950,FirstDose,1
2021-01-20,354340,FirstDose,1
2021-01-20,354780,FirstDose,2
2021-01-20,354880,FirstDose,1
2021-01-20,355030,FirstDose,6
2021-01-20,355240,FirstDose,1
2021-01-20,355470,FirstDose,1
2021-01-20,410830,SecondDose,1
2021-01-20,420460,FirstDose,1
2021-01-20,420820,FirstDose,1
2021-01-20,500110,FirstDose,1
2021-01-20,510170,FirstDose,1
2021-01-20,510795,FirstDose,2
2021-01-20,530010,FirstDose,2
2021-01-21,110011,FirstDose,1
2021-01-21,110020,FirstDose,2
2021-01-21,120040,FirstDose,1
2021-01-21,120060,FirstDose,1
2021-01-21,150060,FirstDose,1
2021-01-21,170100,FirstDose,1
2021-01-21,210130,FirstDose,1
2021-01-21,210530,FirstDose,1
2021-01-21,211130,FirstDose,1
2021-01-21,211153,FirstDose,1
2021-01-21,220730,FirstDose,2
2021-01-21,221100,FirstDose,1
2021-01-21,230730,FirstDose,3
2021-01-21,240310,FirstDose,1
2021-01-21,240800,FirstDose,1
2021-01-21,240810,FirstDose,2
2021-01-21,240930,FirstDose,1
2021-01-21,250400,FirstDose,2
2021-01-21,250750,FirstDose,5
2021-01-21,260010,FirstDose,1
2021-01-21,260040,FirstDose,1
2021-01-21,260050,FirstDose,1
2021-01-21,260110,FirstDose,1
2021-01-21,260120,FirstDose,1
2021-01-21,260210,FirstDose,3
2021-01-21,260280,FirstDose,2
2021-01-21,260470,FirstDose,2
2021-01-21,260590,FirstDose,1
2021-01-21,260600,FirstDose,5
2021-01-21,260790,FirstDose,2
2021-01-21,260825,FirstDose,1
2021-01-21,260960,FirstDose,3
2021-01-21,261000,FirstDose,2
2021-01-21,261110,FirstDose,1
2021-01-21,261150,FirstDose,1
2021-01-21,261160,FirstDose,22
2021-01-21,261300,FirstDose,1
2021-01-21,261390,FirstDose,1
2021-01-21,261618,FirstDose,1
2021-01-21,261640,FirstDose,1
2021-01-21,261650,FirstDose,1
2021-01-21,270010,FirstDose,1
2021-01-21,270020,FirstDose,2
2021-01-21,270030,First Dose,3
2021-01-21,270030,FirstDose,438
2021-01-21,270030,SecondDose,1
2021-01-21,270040,FirstDose,30
2021-01-21,270050,FirstDose,4
2021-01-21,270060,FirstDose,3
2021-01-21,270070,FirstDose,10
2021-01-21,270080,FirstDose,5
2021-01-21,270090,FirstDose,19
2021-01-21,270100,FirstDose,29
2021-01-21,270110,FirstDose,21
2021-01-21,270120,FirstDose,1
2021-01-21,270130,FirstDose,10
2021-01-21,270135,FirstDose,16
2021-01-21,270140,FirstDose,29
2021-01-21,270150,FirstDose,13
2021-01-21,270160,FirstDose,20
2021-01-21,270170,FirstDose,29
2021-01-21,270180,FirstDose,19
2021-01-21,270190,FirstDose,5
2021-01-21,270200,FirstDose,4
2021-01-21,270210,FirstDose,1
2021-01-21,270220,FirstDose,3
2021-01-21,270230,FirstDose,5
2021-01-21,270235,FirstDose,10
2021-01-21,270240,FirstDose,28
2021-01-21,270255,FirstDose,1
2021-01-21,270260,FirstDose,16
2021-01-21,270270,FirstDose,1
2021-01-21,270280,FirstDose,11
2021-01-21,270290,FirstDose,13
2021-01-21,270300,FirstDose,2
2021-01-21,270310,FirstDose,11
2021-01-21,270320,FirstDose,28
2021-01-21,270330,FirstDose,47
2021-01-21,270340,FirstDose,1
2021-01-21,270350,FirstDose,1
2021-01-21,270360,FirstDose,3
2021-01-21,270370,FirstDose,1
2021-01-21,270375,FirstDose,19
2021-01-21,270380,FirstDose,4
2021-01-21,270400,FirstDose,21
2021-01-21,270410,FirstDose,23
2021-01-21,270420,FirstDose,61
2021-01-21,270430,FirstDose,1660
2021-01-21,270430,SecondDose,3
2021-01-21,270440,FirstDose,6
2021-01-21,270450,FirstDose,4
2021-01-21,270460,FirstDose,2
2021-01-21,270470,FirstDose,96
2021-01-21,270480,FirstDose,2
2021-01-21,270490,FirstDose,13
2021-01-21,270500,FirstDose,21
2021-01-21,270510,FirstDose,20
2021-01-21,270520,FirstDose,23
2021-01-21,270530,FirstDose,11
2021-01-21,270550,FirstDose,13
2021-01-21,270560,FirstDose,31
2021-01-21,270570,FirstDose,14
2021-01-21,270590,FirstDose,29
2021-01-21,270610,FirstDose,1
2021-01-21,270630,FirstDose,97
2021-01-21,270640,FirstDose,6
2021-01-21,270642,FirstDose,2
2021-01-21,270644,FirstDose,16
2021-01-21,270650,FirstDose,2
2021-01-21,270660,FirstDose,3
2021-01-21,270670,FirstDose,159
2021-01-21,270680,FirstDose,19
2021-01-21,270690,FirstDose,43
2021-01-21,270690,SecondDose,1
2021-01-21,270700,FirstDose,4
2021-01-21,270710,FirstDose,4
2021-01-21,270720,SecondDose,2
2021-01-21,270730,FirstDose,44
2021-01-21,270740,FirstDose,2
2021-01-21,270750,FirstDose,15
2021-01-21,270760,FirstDose,5
2021-01-21,270770,FirstDose,59
2021-01-21,270780,FirstDose,19
2021-01-21,270790,FirstDose,3
2021-01-21,270800,FirstDose,10
2021-01-21,270810,FirstDose,4
2021-01-21,270820,FirstDose,1
2021-01-21,270830,FirstDose,20
2021-01-21,270840,FirstDose,14
2021-01-21,270850,FirstDose,4
2021-01-21,270860,FirstDose,99
2021-01-21,270880,First Dose,1
2021-01-21,270880,FirstDose,32
2021-01-21,270890,FirstDose,6
2021-01-21,270895,FirstDose,1
2021-01-21,270900,FirstDose,9
2021-01-21,270910,FirstDose,33
2021-01-21,270915,FirstDose,10
2021-01-21,270920,FirstDose,11
2021-01-21,270930,FirstDose,18
2021-01-21,270940,FirstDose,9
2021-01-21,280030,FirstDose,16
2021-01-21,280440,FirstDose,3
2021-01-21,280560,FirstDose,2
2021-01-21,280570,FirstDose,3
2021-01-21,280600,FirstDose,1
2021-01-21,290020,FirstDose,1
2021-01-21,291480,FirstDose,1
2021-01-21,291920,FirstDose,1
2021-01-21,291955,FirstDose,1
2021-01-21,292305,FirstDose,1
2021-01-21,292370,FirstDose,1
2021-01-21,292400,FirstDose,3
2021-01-21,292740,FirstDose,4
2021-01-21,292990,FirstDose,1
2021-01-21,293160,FirstDose,1
2021-01-21,293200,FirstDose,1
2021-01-21,293330,FirstDose,1
2021-01-21,310620,FirstDose,4
2021-01-21,311260,FirstDose,1
2021-01-21,312125,FirstDose,1
2021-01-21,313090,SecondDose,1
2021-01-21,313420,FirstDose,1
2021-01-21,330350,FirstDose,4
2021-01-21,330390,FirstDose,1
2021-01-21,330455,FirstDose,5
2021-01-21,350900,FirstDose,1
2021-01-21,350950,FirstDose,4
2021-01-21,351570,FirstDose,1
2021-01-21,351880,FirstDose,1
2021-01-21,352050,FirstDose,1
2021-01-21,352590,FirstDose,1
2021-01-21,352940,FirstDose,1
2021-01-21,353240,FirstDose,1
2021-01-21,353440,FirstDose,1
2021-01-21,354020,FirstDose,1
2021-01-21,354340,FirstDose,2
2021-01-21,354880,FirstDose,1
2021-01-21,355030,FirstDose,15
2021-01-21,355150,FirstDose,1
2021-01-21,355220,FirstDose,1
2021-01-21,355400,FirstDose,1
2021-01-21,410430,FirstDose,1
2021-01-21,410830,FirstDose,1
2021-01-21,411520,FirstDose,1
2021-01-21,411570,FirstDose,1
2021-01-21,411990,FirstDose,1
2021-01-21,412000,FirstDose,1
2021-01-21,420460,FirstDose,1
2021-01-21,431370,FirstDose,1
2021-01-21,431440,FirstDose,1
2021-01-21,431490,FirstDose,1
2021-01-21,431560,FirstDose,1
2021-01-21,431740,FirstDose,1
2021-01-21,500270,FirstDose,1
2021-01-21,510170,FirstDose,1
2021-01-21,510263,FirstDose,1
2021-01-21,510335,FirstDose,1
2021-01-21,510340,FirstDose,2
2021-01-21,510622,FirstDose,2
2021-01-21,510623,FirstDose,1
2021-01-21,510760,FirstDose,1
2021-01-21,510840,FirstDose,1
2021-01-21,520870,FirstDose,1
2021-01-21,521090,FirstDose,1
