Date,IBGE6,Type,N
2021-01-17,160030,SecondDose,2
2021-01-18,160030,FirstDose,2
2021-01-18,160030,SecondDose,1
2021-01-19,110002,FirstDose,1
2021-01-19,150140,FirstDose,1
2021-01-19,150145,FirstDose,1
2021-01-19,150815,FirstDose,1
2021-01-19,150840,FirstDose,1
2021-01-19,160005,FirstDose,1
2021-01-19,160010,FirstDose,3
2021-01-19,160010,SecondDose,1
2021-01-19,160021,FirstDose,32
2021-01-19,160023,FirstDose,6
2021-01-19,160023,SecondDose,1
2021-01-19,160027,FirstDose,3
2021-01-19,160030,FirstDose,97
2021-01-19,160040,FirstDose,27
2021-01-19,160050,FirstDose,1
2021-01-19,160053,FirstDose,36
2021-01-19,160055,FirstDose,5
2021-01-19,160060,FirstDose,6
2021-01-19,160070,FirstDose,6
2021-01-19,171820,FirstDose,1
2021-01-19,250400,FirstDose,1
2021-01-19,320150,FirstDose,1
2021-01-19,355100,FirstDose,1
2021-01-19,410050,FirstDose,1
2021-01-19,410830,FirstDose,1
2021-01-20,110004,FirstDose,3
2021-01-20,110005,FirstDose,1
2021-01-20,110012,FirstDose,2
2021-01-20,110020,FirstDose,1
2021-01-20,120020,FirstDose,1
2021-01-20,120040,FirstDose,1
2021-01-20,130120,FirstDose,1
2021-01-20,130150,FirstDose,1
2021-01-20,130260,FirstDose,2
2021-01-20,140010,FirstDose,1
2021-01-20,150050,FirstDose,22
2021-01-20,150060,FirstDose,1
2021-01-20,150080,FirstDose,5
2021-01-20,150140,FirstDose,15
2021-01-20,150180,FirstDose,3
2021-01-20,150210,FirstDose,1
2021-01-20,150220,FirstDose,1
2021-01-20,150240,FirstDose,2
2021-01-20,150250,FirstDose,1
2021-01-20,150360,FirstDose,1
2021-01-20,150400,FirstDose,1
2021-01-20,150420,FirstDose,1
2021-01-20,150480,FirstDose,2
2021-01-20,150530,FirstDose,1
2021-01-20,150590,FirstDose,1
2021-01-20,150619,FirstDose,1
2021-01-20,150655,FirstDose,1
