Date,IBGE6,Type,N
2020-12-27,110150,FirstDose,1
2021-01-07,110002,FirstDose,1
2021-01-17,110020,FirstDose,2
2021-01-18,110002,FirstDose,1
2021-01-18,110010,SecondDose,1
2021-01-18,110020,FirstDose,1
2021-01-18,110092,FirstDose,1
2021-01-19,110002,FirstDose,2
2021-01-19,110003,FirstDose,1
2021-01-19,110004,FirstDose,20
2021-01-19,110008,FirstDose,1
2021-01-19,110010,FirstDose,35
2021-01-19,110012,FirstDose,1
2021-01-19,110020,FirstDose,115
2021-01-19,110025,FirstDose,2
2021-01-19,110026,FirstDose,1
2021-01-19,110028,FirstDose,1
2021-01-19,110029,FirstDose,1
2021-01-19,110032,FirstDose,1
2021-01-19,110033,FirstDose,41
2021-01-19,110110,FirstDose,4
2021-01-19,130170,FirstDose,1
2021-01-19,130260,FirstDose,1
2021-01-19,330455,FirstDose,1
2021-01-19,410830,FirstDose,1
2021-01-20,110001,FirstDose,20
2021-01-20,110002,FirstDose,9
2021-01-20,110004,FirstDose,186
2021-01-20,110005,FirstDose,1
2021-01-20,110006,FirstDose,2
2021-01-20,110007,FirstDose,1
2021-01-20,110009,FirstDose,39
2021-01-20,110010,FirstDose,137
2021-01-20,110011,FirstDose,36
2021-01-20,110012,FirstDose,20
2021-01-20,110013,FirstDose,2
2021-01-20,110014,FirstDose,1
2021-01-20,110014,SecondDose,1
2021-01-20,110015,FirstDose,7
2021-01-20,110018,FirstDose,99
2021-01-20,110018,SecondDose,1
2021-01-20,110020,Dose,1
2021-01-20,110020,FirstDose,368
2021-01-20,110025,FirstDose,34
2021-01-20,110028,FirstDose,26
2021-01-20,110029,FirstDose,2
2021-01-20,110030,FirstDose,35
2021-01-20,110033,FirstDose,65
2021-01-20,110034,FirstDose,5
2021-01-20,110037,FirstDose,1
2021-01-20,110040,FirstDose,1
2021-01-20,110045,FirstDose,3
2021-01-20,110050,FirstDose,3
2021-01-20,110070,FirstDose,1
2021-01-20,110080,FirstDose,43
2021-01-20,110092,FirstDose,1
2021-01-20,110100,FirstDose,9
2021-01-20,110110,FirstDose,23
2021-01-20,110120,FirstDose,27
2021-01-20,110140,FirstDose,2
2021-01-20,110143,FirstDose,1
2021-01-20,110147,FirstDose,5
2021-01-20,110148,FirstDose,6
2021-01-20,110149,FirstDose,6
2021-01-20,110150,FirstDose,2
2021-01-20,110160,FirstDose,8
2021-01-20,110170,FirstDose,37
2021-01-20,110175,FirstDose,1
2021-01-20,120020,FirstDose,1
2021-01-20,120025,FirstDose,1
2021-01-20,120040,FirstDose,7
2021-01-20,130030,FirstDose,1
2021-01-20,130068,FirstDose,1
2021-01-20,130070,FirstDose,1
2021-01-20,130170,FirstDose,2
2021-01-20,130260,FirstDose,4
2021-01-20,140010,FirstDose,1
2021-01-20,150680,FirstDose,1
2021-01-20,230440,FirstDose,2
2021-01-20,250290,FirstDose,1
2021-01-20,251080,FirstDose,1
2021-01-20,291390,FirstDose,1
2021-01-20,291430,FirstDose,1
2021-01-20,292350,FirstDose,1
2021-01-20,310350,FirstDose,1
2021-01-20,312710,FirstDose,1
2021-01-20,317020,FirstDose,1
2021-01-20,320220,FirstDose,1
2021-01-20,320530,FirstDose,1
2021-01-20,330455,FirstDose,1
2021-01-20,350760,FirstDose,1
2021-01-20,351550,FirstDose,1
2021-01-20,352050,FirstDose,1
2021-01-20,354450,FirstDose,1
2021-01-20,354980,FirstDose,1
2021-01-20,355040,FirstDose,1
2021-01-20,410040,FirstDose,1
2021-01-20,410480,FirstDose,1
2021-01-20,411370,FirstDose,5
2021-01-20,412800,FirstDose,1
2021-01-20,420200,FirstDose,1
2021-01-20,421970,FirstDose,1
2021-01-20,431440,FirstDose,1
2021-01-20,432160,FirstDose,1
2021-01-20,510170,FirstDose,1
2021-01-20,510325,FirstDose,1
2021-01-20,510330,FirstDose,2
2021-01-20,510340,FirstDose,4
2021-01-20,510523,FirstDose,1
2021-01-20,510757,FirstDose,1
2021-01-20,510760,FirstDose,2
2021-01-20,510787,FirstDose,2
2021-01-20,510790,FirstDose,1
2021-01-20,510795,FirstDose,1
2021-01-20,520110,FirstDose,1
2021-01-20,520800,FirstDose,1
2021-01-21,110001,FirstDose,12
2021-01-21,110002,FirstDose,147
2021-01-21,110003,FirstDose,28
2021-01-21,110004,FirstDose,316
2021-01-21,110005,FirstDose,84
2021-01-21,110006,FirstDose,46
2021-01-21,110007,FirstDose,11
2021-01-21,110008,FirstDose,1
2021-01-21,110009,FirstDose,25
2021-01-21,110010,FirstDose,127
2021-01-21,110010,SecondDose,1
2021-01-21,110011,FirstDose,111
2021-01-21,110012,FirstDose,194
2021-01-21,110013,FirstDose,57
2021-01-21,110014,FirstDose,43
2021-01-21,110015,FirstDose,35
2021-01-21,110018,FirstDose,48
2021-01-21,110020,FirstDose,736
2021-01-21,110020,SecondDose,4
2021-01-21,110025,FirstDose,42
2021-01-21,110026,FirstDose,3
2021-01-21,110028,FirstDose,342
2021-01-21,110028,SecondDose,2
2021-01-21,110029,FirstDose,24
2021-01-21,110030,FirstDose,128
2021-01-21,110030,SecondDose,2
2021-01-21,110032,FirstDose,22
2021-01-21,110033,FirstDose,5
2021-01-21,110034,FirstDose,33
2021-01-21,110037,FirstDose,39
2021-01-21,110040,FirstDose,19
2021-01-21,110045,FirstDose,19
2021-01-21,110050,FirstDose,22
2021-01-21,110060,FirstDose,27
2021-01-21,110070,FirstDose,9
2021-01-21,110080,FirstDose,54
2021-01-21,110080,SecondDose,1
2021-01-21,110090,FirstDose,11
2021-01-21,110092,FirstDose,1
2021-01-21,110094,FirstDose,19
2021-01-21,110094,SecondDose,1
2021-01-21,110100,FirstDose,14
2021-01-21,110110,FirstDose,28
2021-01-21,110120,FirstDose,14
2021-01-21,110130,FirstDose,12
2021-01-21,110140,FirstDose,11
2021-01-21,110143,FirstDose,9
2021-01-21,110145,FirstDose,7
2021-01-21,110146,FirstDose,2
2021-01-21,110147,FirstDose,8
2021-01-21,110148,FirstDose,14
2021-01-21,110149,FirstDose,19
2021-01-21,110150,FirstDose,9
2021-01-21,110155,FirstDose,20
2021-01-21,110160,FirstDose,7
2021-01-21,110170,FirstDose,16
2021-01-21,110175,FirstDose,15
2021-01-21,110180,FirstDose,19
2021-01-21,120020,FirstDose,3
2021-01-21,120040,FirstDose,13
2021-01-21,130070,FirstDose,1
2021-01-21,130090,FirstDose,1
2021-01-21,130165,FirstDose,1
2021-01-21,130170,FirstDose,5
2021-01-21,130190,FirstDose,1
2021-01-21,130260,FirstDose,6
2021-01-21,130430,FirstDose,1
2021-01-21,150140,FirstDose,1
2021-01-21,150145,FirstDose,1
2021-01-21,150420,FirstDose,1
2021-01-21,170550,FirstDose,1
2021-01-21,230350,FirstDose,1
2021-01-21,230550,FirstDose,1
2021-01-21,231090,FirstDose,1
2021-01-21,231360,FirstDose,1
2021-01-21,250400,FirstDose,1
2021-01-21,250600,FirstDose,1
2021-01-21,250750,FirstDose,1
2021-01-21,251080,FirstDose,1
2021-01-21,251275,FirstDose,1
2021-01-21,260880,FirstDose,1
2021-01-21,261160,FirstDose,1
2021-01-21,270430,FirstDose,2
2021-01-21,291080,FirstDose,1
2021-01-21,310620,FirstDose,1
2021-01-21,310670,FirstDose,1
2021-01-21,311510,FirstDose,1
2021-01-21,313670,FirstDose,1
2021-01-21,316180,FirstDose,1
2021-01-21,316260,FirstDose,1
2021-01-21,316600,FirstDose,1
2021-01-21,316860,FirstDose,1
2021-01-21,320270,FirstDose,1
2021-01-21,320455,FirstDose,1
