Date,IBGE6,Type,N
2021-01-17,140010,FirstDose,3
2021-01-17,140015,SecondDose,1
2021-01-17,140040,SecondDose,1
2021-01-17,140070,FirstDose,1
2021-01-18,140005,FirstDose,2
2021-01-18,140010,FirstDose,6
2021-01-18,140020,FirstDose,1
2021-01-18,140070,FirstDose,1
2021-01-19,140010,FirstDose,6
2021-01-20,110033,FirstDose,1
2021-01-20,120025,FirstDose,1
2021-01-20,130040,FirstDose,3
2021-01-20,130260,FirstDose,5
2021-01-20,130360,FirstDose,1
2021-01-20,140002,FirstDose,24
2021-01-20,140005,FirstDose,70
2021-01-20,140010,FirstDose,116
2021-01-20,140015,FirstDose,36
2021-01-20,140017,FirstDose,52
2021-01-20,140017,SecondDose,1
2021-01-20,140020,FirstDose,1
2021-01-20,140028,FirstDose,8
2021-01-20,140030,FirstDose,3
2021-01-20,140040,FirstDose,7
2021-01-20,140045,FirstDose,3
2021-01-20,140047,FirstDose,1
2021-01-20,210580,FirstDose,1
2021-01-20,211130,FirstDose,1
2021-01-20,230220,FirstDose,1
2021-01-20,230710,FirstDose,1
2021-01-20,250440,FirstDose,1
2021-01-20,250750,FirstDose,1
2021-01-20,313940,FirstDose,1
2021-01-20,330455,FirstDose,1
2021-01-20,352950,FirstDose,1
2021-01-20,354080,FirstDose,1
2021-01-20,355030,FirstDose,1
2021-01-20,520620,FirstDose,1
2021-01-21,110002,FirstDose,2
2021-01-21,110007,FirstDose,2
2021-01-21,120025,FirstDose,1
2021-01-21,130020,FirstDose,1
2021-01-21,130040,FirstDose,1
2021-01-21,130060,FirstDose,1
2021-01-21,130190,FirstDose,1
2021-01-21,130260,FirstDose,26
2021-01-21,130353,FirstDose,2
2021-01-21,130360,FirstDose,1
2021-01-21,130380,FirstDose,2
2021-01-21,140002,FirstDose,90
2021-01-21,140005,FirstDose,113
2021-01-21,140010,FirstDose,776
2021-01-21,140010,SecondDose,4
2021-01-21,140015,FirstDose,30
2021-01-21,140017,FirstDose,11
2021-01-21,140020,FirstDose,78
2021-01-21,140023,FirstDose,37
2021-01-21,140028,FirstDose,30
2021-01-21,140030,FirstDose,42
2021-01-21,140040,FirstDose,12
2021-01-21,140045,FirstDose,20
2021-01-21,140047,FirstDose,6
2021-01-21,140050,FirstDose,25
2021-01-21,140060,FirstDose,42
2021-01-21,140070,FirstDose,13
2021-01-21,150080,FirstDose,1
2021-01-21,150130,FirstDose,1
2021-01-21,150140,FirstDose,2
2021-01-21,150180,FirstDose,1
2021-01-21,150360,FirstDose,3
2021-01-21,150619,FirstDose,1
2021-01-21,150680,FirstDose,3
2021-01-21,150805,FirstDose,1
2021-01-21,210520,FirstDose,2
2021-01-21,210770,FirstDose,1
2021-01-21,220450,FirstDose,1
2021-01-21,221100,FirstDose,1
2021-01-21,230440,FirstDose,3
2021-01-21,230590,FirstDose,1
2021-01-21,230730,FirstDose,1
2021-01-21,240230,FirstDose,1
2021-01-21,240560,FirstDose,1
2021-01-21,240810,FirstDose,1
2021-01-21,250400,FirstDose,1
2021-01-21,250750,FirstDose,2
2021-01-21,261000,FirstDose,1
2021-01-21,261160,FirstDose,1
2021-01-21,310620,FirstDose,1
2021-01-21,313130,FirstDose,1
2021-01-21,317010,FirstDose,1
2021-01-21,320090,FirstDose,1
2021-01-21,330240,FirstDose,1
2021-01-21,330330,FirstDose,1
2021-01-21,330455,FirstDose,3
2021-01-21,351620,FirstDose,1
2021-01-21,354340,FirstDose,2
2021-01-21,355030,FirstDose,1
2021-01-21,411840,FirstDose,1
2021-01-21,530010,FirstDose,2
2021-01-22,110004,FirstDose,2
2021-01-22,110010,FirstDose,1
2021-01-22,110030,FirstDose,1
2021-01-22,120020,FirstDose,1
2021-01-22,120040,FirstDose,3
2021-01-22,120040,SecondDose,1
2021-01-22,130030,FirstDose,2
2021-01-22,130040,FirstDose,1
2021-01-22,130060,FirstDose,1
2021-01-22,130120,FirstDose,1
2021-01-22,130185,FirstDose,1
2021-01-22,130190,FirstDose,1
2021-01-22,130200,FirstDose,1
2021-01-22,130260,FirstDose,33
2021-01-22,130353,FirstDose,2
2021-01-22,130380,FirstDose,2
2021-01-22,140002,FirstDose,96
2021-01-22,140005,FirstDose,66
2021-01-22,140010,First Dose,1
2021-01-22,140010,FirstDose,1063
2021-01-22,140010,SecondDose,2
2021-01-22,140015,FirstDose,9
2021-01-22,140017,FirstDose,16
2021-01-22,140020,FirstDose,40
2021-01-22,140020,SecondDose,1
2021-01-22,140023,FirstDose,7
2021-01-22,140028,FirstDose,18
2021-01-22,140028,SecondDose,1
2021-01-22,140030,FirstDose,43
2021-01-22,140040,FirstDose,11
2021-01-22,140045,FirstDose,22
2021-01-22,140047,FirstDose,116
2021-01-22,140050,FirstDose,24
2021-01-22,140060,FirstDose,12
2021-01-22,140070,FirstDose,13
2021-01-22,150040,FirstDose,1
2021-01-22,150080,FirstDose,2
2021-01-22,150100,FirstDose,1
2021-01-22,150140,FirstDose,1
2021-01-22,150360,FirstDose,1
2021-01-22,150380,FirstDose,1
2021-01-22,150480,FirstDose,1
2021-01-22,150680,FirstDose,2
2021-01-22,150797,FirstDose,1
2021-01-22,160015,FirstDose,1
2021-01-22,170950,FirstDose,1
2021-01-22,210005,FirstDose,1
2021-01-22,210047,FirstDose,1
2021-01-22,210300,FirstDose,1
2021-01-22,210430,FirstDose,1
2021-01-22,210530,FirstDose,2
2021-01-22,210542,FirstDose,1
2021-01-22,210890,FirstDose,1
2021-01-22,210990,FirstDose,1
2021-01-22,211000,FirstDose,1
2021-01-22,220840,FirstDose,1
2021-01-22,221100,FirstDose,1
2021-01-22,230020,FirstDose,1
2021-01-22,230440,FirstDose,3
2021-01-22,231320,FirstDose,1
2021-01-22,240800,FirstDose,1
2021-01-22,240810,FirstDose,1
2021-01-22,241250,FirstDose,1
2021-01-22,250400,FirstDose,2
2021-01-22,250750,FirstDose,2
2021-01-22,260720,FirstDose,1
2021-01-22,280030,FirstDose,2
2021-01-22,310350,FirstDose,1
2021-01-22,311340,FirstDose,1
2021-01-22,316630,FirstDose,1
2021-01-22,330455,FirstDose,3
2021-01-22,350280,FirstDose,1
2021-01-22,350760,FirstDose,1
2021-01-22,351110,FirstDose,3
2021-01-22,352920,FirstDose,1
2021-01-22,353740,FirstDose,1
2021-01-22,353760,FirstDose,1
2021-01-22,354260,FirstDose,1
2021-01-22,354340,FirstDose,1
2021-01-22,355030,FirstDose,4
2021-01-22,421660,FirstDose,1
2021-01-22,430790,FirstDose,1
2021-01-22,431110,FirstDose,1
2021-01-22,431740,FirstDose,1
2021-01-22,432090,FirstDose,1
2021-01-22,500270,FirstDose,4
2021-01-22,510268,FirstDose,1
2021-01-22,510340,FirstDose,1
2021-01-22,510622,FirstDose,1
2021-01-22,510840,FirstDose,1
2021-01-23,110020,FirstDose,1
2021-01-23,110070,FirstDose,1
2021-01-23,130030,FirstDose,1
2021-01-23,130060,FirstDose,2
2021-01-23,130120,FirstDose,3
2021-01-23,130170,FirstDose,1
2021-01-23,130190,FirstDose,1
2021-01-23,130255,FirstDose,1
2021-01-23,130260,FirstDose,24
2021-01-23,130340,FirstDose,1
2021-01-23,130353,FirstDose,1
2021-01-23,140002,FirstDose,34
2021-01-23,140002,SecondDose,1
2021-01-23,140005,FirstDose,80
2021-01-23,140005,SecondDose,1
2021-01-23,140010,FirstDose,839
2021-01-23,140010,SecondDose,2
2021-01-23,140015,FirstDose,6
2021-01-23,140017,FirstDose,13
2021-01-23,140020,FirstDose,6
2021-01-23,140023,FirstDose,1
2021-01-23,140028,FirstDose,3
2021-01-23,140030,FirstDose,4
2021-01-23,140040,FirstDose,4
2021-01-23,140045,FirstDose,7
2021-01-23,140047,FirstDose,29
2021-01-23,140050,FirstDose,3
2021-01-23,140060,FirstDose,3
2021-01-23,140070,FirstDose,1
2021-01-23,150060,FirstDose,2
2021-01-23,150140,FirstDose,1
2021-01-23,150360,FirstDose,1
2021-01-23,150480,FirstDose,1
2021-01-23,150619,FirstDose,1
2021-01-23,150680,FirstDose,1
2021-01-23,150805,FirstDose,1
2021-01-23,170950,FirstDose,1
2021-01-23,172100,FirstDose,1
2021-01-23,210047,FirstDose,1
2021-01-23,211400,FirstDose,1
2021-01-23,221100,FirstDose,3
2021-01-23,240325,FirstDose,1
2021-01-23,250370,FirstDose,1
2021-01-23,250400,FirstDose,1
2021-01-23,250750,FirstDose,3
2021-01-23,260410,FirstDose,1
2021-01-23,261110,FirstDose,1
2021-01-23,291640,FirstDose,1
2021-01-23,292400,FirstDose,1
2021-01-23,314090,FirstDose,1
2021-01-23,314330,FirstDose,1
2021-01-23,314390,FirstDose,1
2021-01-23,314790,FirstDose,1
2021-01-23,316110,FirstDose,1
2021-01-23,320420,FirstDose,1
2021-01-23,330220,FirstDose,1
2021-01-23,330455,FirstDose,1
2021-01-23,330575,FirstDose,1
2021-01-23,351500,FirstDose,1
2021-01-23,353050,FirstDose,1
2021-01-23,353740,FirstDose,1
2021-01-23,355030,FirstDose,3
2021-01-23,410690,FirstDose,1
2021-01-23,411480,FirstDose,1
2021-01-23,420460,FirstDose,1
2021-01-23,430510,FirstDose,1
2021-01-23,431036,FirstDose,1
2021-01-23,431490,FirstDose,2
2021-01-23,431690,FirstDose,1
2021-01-23,510268,FirstDose,1
2021-01-23,510760,FirstDose,1
2021-01-23,521120,FirstDose,1
2021-01-24,110013,FirstDose,1
2021-01-24,120040,FirstDose,1
2021-01-24,130040,FirstDose,7
2021-01-24,130090,FirstDose,1
2021-01-24,130250,FirstDose,1
2021-01-24,130260,FirstDose,3
2021-01-24,130380,FirstDose,1
2021-01-24,140002,FirstDose,2
2021-01-24,140005,FirstDose,15
2021-01-24,140010,FirstDose,251
2021-01-24,140010,SecondDose,5
2021-01-24,140015,FirstDose,6
2021-01-24,140017,FirstDose,1
2021-01-24,140020,FirstDose,1
2021-01-24,140023,FirstDose,1
2021-01-24,140028,FirstDose,1
2021-01-24,140030,FirstDose,1
2021-01-24,140040,FirstDose,1
2021-01-24,140045,FirstDose,5
2021-01-24,140070,FirstDose,9
2021-01-24,140070,SecondDose,1
2021-01-24,150360,FirstDose,1
2021-01-24,220080,FirstDose,1
2021-01-24,240810,FirstDose,1
2021-01-24,251335,FirstDose,1
2021-01-24,410305,FirstDose,1
2021-01-24,410690,FirstDose,1
2021-01-25,110002,FirstDose,1
2021-01-25,110005,FirstDose,1
2021-01-25,110010,FirstDose,1
2021-01-25,110012,FirstDose,1
2021-01-25,110020,FirstDose,2
2021-01-25,110020,SecondDose,1
2021-01-25,110030,FirstDose,1
2021-01-25,130020,FirstDose,1
2021-01-25,130040,FirstDose,2
2021-01-25,130060,FirstDose,1
2021-01-25,130185,FirstDose,1
2021-01-25,130190,FirstDose,1
2021-01-25,130250,FirstDose,1
2021-01-25,130255,FirstDose,1
2021-01-25,130260,FirstDose,24
2021-01-25,130340,FirstDose,1
2021-01-25,130353,FirstDose,1
2021-01-25,130380,FirstDose,1
2021-01-25,140002,FirstDose,18
2021-01-25,140005,FirstDose,31
2021-01-25,140005,SecondDose,1
2021-01-25,140010,First Dose,1
2021-01-25,140010,FirstDose,1168
2021-01-25,140015,FirstDose,4
2021-01-25,140017,FirstDose,8
2021-01-25,140020,FirstDose,26
2021-01-25,140023,FirstDose,24
2021-01-25,140028,FirstDose,29
2021-01-25,140030,FirstDose,21
2021-01-25,140040,FirstDose,43
2021-01-25,140040,SecondDose,1
2021-01-25,140045,FirstDose,40
2021-01-25,140047,FirstDose,33
2021-01-25,140050,FirstDose,15
2021-01-25,140060,FirstDose,12
2021-01-25,140070,FirstDose,15
2021-01-25,140070,SecondDose,1
2021-01-25,150080,FirstDose,2
2021-01-25,150140,FirstDose,1
2021-01-25,150178,FirstDose,1
2021-01-25,150360,FirstDose,2
2021-01-25,150680,FirstDose,3
2021-01-25,210530,FirstDose,1
2021-01-25,210860,FirstDose,1
2021-01-25,211003,FirstDose,1
2021-01-25,220800,FirstDose,1
2021-01-25,220840,FirstDose,1
2021-01-25,221100,FirstDose,1
2021-01-25,230440,FirstDose,2
2021-01-25,230590,FirstDose,1
2021-01-25,240800,FirstDose,2
2021-01-25,250430,FirstDose,2
2021-01-25,250440,FirstDose,1
2021-01-25,251370,FirstDose,1
2021-01-25,260200,FirstDose,1
2021-01-25,260960,FirstDose,1
2021-01-25,260990,FirstDose,1
2021-01-25,261110,FirstDose,2
2021-01-25,261160,FirstDose,2
2021-01-25,261370,FirstDose,1
2021-01-25,261510,FirstDose,1
2021-01-25,280250,FirstDose,1
2021-01-25,291480,FirstDose,1
2021-01-25,291735,FirstDose,1
2021-01-25,292740,FirstDose,1
2021-01-25,314505,FirstDose,1
2021-01-25,315220,FirstDose,1
2021-01-25,330330,FirstDose,2
2021-01-25,330455,FirstDose,2
2021-01-25,350600,FirstDose,1
2021-01-25,350850,FirstDose,1
2021-01-25,352220,FirstDose,1
2021-01-25,352250,FirstDose,1
2021-01-25,352590,FirstDose,1
2021-01-25,352940,FirstDose,1
2021-01-25,354980,FirstDose,2
2021-01-25,355030,FirstDose,6
2021-01-25,410690,FirstDose,1
2021-01-25,410965,FirstDose,1
2021-01-25,431440,FirstDose,1
2021-01-25,500370,FirstDose,2
2021-01-25,520110,FirstDose,1
2021-01-25,520870,FirstDose,1
2021-01-25,521523,FirstDose,1
2021-01-26,110010,FirstDose,1
2021-01-26,120040,FirstDose,1
2021-01-26,130040,FirstDose,4
2021-01-26,130260,FirstDose,23
2021-01-26,130340,FirstDose,2
2021-01-26,130353,FirstDose,2
2021-01-26,130380,FirstDose,2
2021-01-26,140002,FirstDose,64
2021-01-26,140005,FirstDose,78
2021-01-26,140010,FirstDose,1096
2021-01-26,140010,SecondDose,2
2021-01-26,140015,FirstDose,28
2021-01-26,140017,FirstDose,28
2021-01-26,140020,FirstDose,27
2021-01-26,140023,FirstDose,1
2021-01-26,140028,FirstDose,20
2021-01-26,140030,FirstDose,27
2021-01-26,140040,FirstDose,71
2021-01-26,140045,FirstDose,6
2021-01-26,140047,FirstDose,12
2021-01-26,140050,FirstDose,11
2021-01-26,140060,FirstDose,9
2021-01-26,140070,FirstDose,2
2021-01-26,150040,FirstDose,2
2021-01-26,150140,FirstDose,2
2021-01-26,150480,FirstDose,1
2021-01-26,150680,FirstDose,2
2021-01-26,171830,FirstDose,1
2021-01-26,172110,FirstDose,1
2021-01-26,210232,FirstDose,1
2021-01-26,210380,FirstDose,1
2021-01-26,210735,FirstDose,1
2021-01-26,210945,FirstDose,1
2021-01-26,211130,FirstDose,1
2021-01-26,221100,FirstDose,2
2021-01-26,231320,FirstDose,1
2021-01-26,240800,FirstDose,1
2021-01-26,240810,FirstDose,1
2021-01-26,250400,FirstDose,2
2021-01-26,260960,FirstDose,1
2021-01-26,270430,FirstDose,1
2021-01-26,270640,FirstDose,1
2021-01-26,290380,FirstDose,1
2021-01-26,292740,FirstDose,3
2021-01-26,310620,FirstDose,2
2021-01-26,311550,FirstDose,1
2021-01-26,313130,FirstDose,1
2021-01-26,313670,FirstDose,1
2021-01-26,314400,FirstDose,1
2021-01-26,315250,FirstDose,1
2021-01-26,320170,FirstDose,1
2021-01-26,330285,FirstDose,1
2021-01-26,330290,FirstDose,1
2021-01-26,330414,FirstDose,1
2021-01-26,330455,FirstDose,12
2021-01-26,330490,FirstDose,1
2021-01-26,330510,FirstDose,1
2021-01-26,350570,FirstDose,1
2021-01-26,350850,FirstDose,1
2021-01-26,351700,FirstDose,1
2021-01-26,353800,FirstDose,1
2021-01-26,354880,FirstDose,1
2021-01-26,355030,FirstDose,1
2021-01-26,410690,FirstDose,1
2021-01-26,411480,FirstDose,1
2021-01-26,430300,FirstDose,1
2021-01-26,431540,FirstDose,1
2021-01-26,431690,FirstDose,2
2021-01-26,431830,FirstDose,1
2021-01-26,500270,FirstDose,1
2021-01-26,500720,FirstDose,1
2021-01-26,510629,FirstDose,1
2021-01-26,520870,FirstDose,1
2021-01-26,520880,FirstDose,1
2021-01-26,530010,FirstDose,2
2021-01-27,130260,FirstDose,8
2021-01-27,130340,FirstDose,2
2021-01-27,140002,FirstDose,163
2021-01-27,140002,SecondDose,1
2021-01-27,140005,FirstDose,28
2021-01-27,140010,FirstDose,731
2021-01-27,140010,SecondDose,1
2021-01-27,140015,FirstDose,71
2021-01-27,140017,FirstDose,24
2021-01-27,140020,FirstDose,9
2021-01-27,140023,FirstDose,4
2021-01-27,140028,FirstDose,9
2021-01-27,140030,FirstDose,12
2021-01-27,140040,FirstDose,70
2021-01-27,140045,FirstDose,33
2021-01-27,140047,FirstDose,4
2021-01-27,140050,FirstDose,2
2021-01-27,140060,FirstDose,4
2021-01-27,140070,FirstDose,9
2021-01-27,140070,SecondDose,1
2021-01-27,150309,FirstDose,1
2021-01-27,150619,FirstDose,1
2021-01-27,170950,FirstDose,1
2021-01-27,210055,FirstDose,1
2021-01-27,210160,FirstDose,1
2021-01-27,211050,FirstDose,1
2021-01-27,221100,FirstDose,2
2021-01-27,230110,FirstDose,1
2021-01-27,240810,FirstDose,1
2021-01-27,261060,FirstDose,1
2021-01-27,270430,FirstDose,1
2021-01-27,293320,FirstDose,1
2021-01-27,330455,FirstDose,2
2021-01-27,330490,FirstDose,1
2021-01-27,354340,FirstDose,1
2021-01-27,355050,FirstDose,1
2021-01-27,355220,FirstDose,1
2021-01-27,421500,FirstDose,1
2021-01-27,421870,FirstDose,2
2021-01-27,430040,FirstDose,1
2021-01-27,431490,FirstDose,1
2021-01-27,431690,FirstDose,1
2021-01-27,431830,FirstDose,1
2021-01-27,432080,FirstDose,1
2021-01-27,500060,FirstDose,1
2021-01-27,500270,FirstDose,1
2021-01-27,520110,FirstDose,1
2021-01-27,530010,FirstDose,2
2021-01-28,130040,FirstDose,8
2021-01-28,130120,FirstDose,1
2021-01-28,130260,FirstDose,8
2021-01-28,130353,FirstDose,1
2021-01-28,140002,FirstDose,229
2021-01-28,140005,FirstDose,34
2021-01-28,140005,SecondDose,1
2021-01-28,140010,FirstDose,475
2021-01-28,140010,SecondDose,1
2021-01-28,140015,FirstDose,83
2021-01-28,140017,FirstDose,13
2021-01-28,140020,FirstDose,10
2021-01-28,140023,FirstDose,9
2021-01-28,140030,FirstDose,4
2021-01-28,140040,FirstDose,99
2021-01-28,140045,FirstDose,42
2021-01-28,140045,SecondDose,1
2021-01-28,140047,FirstDose,7
2021-01-28,140047,SecondDose,1
2021-01-28,140050,FirstDose,3
2021-01-28,140060,FirstDose,1
2021-01-28,140070,FirstDose,81
2021-01-28,150080,FirstDose,1
2021-01-28,150140,FirstDose,1
2021-01-28,150157,FirstDose,1
2021-01-28,150320,FirstDose,1
2021-01-28,150360,FirstDose,1
2021-01-28,150680,FirstDose,1
2021-01-28,211130,FirstDose,1
2021-01-28,211150,FirstDose,1
2021-01-28,240050,FirstDose,1
2021-01-28,241450,FirstDose,1
2021-01-28,250190,FirstDose,1
2021-01-28,250320,FirstDose,1
2021-01-28,250590,FirstDose,1
2021-01-28,291460,FirstDose,1
2021-01-28,317130,FirstDose,1
2021-01-28,330170,FirstDose,1
2021-01-28,330510,FirstDose,1
2021-01-28,350760,FirstDose,2
2021-01-28,350950,FirstDose,1
2021-01-28,351640,FirstDose,1
2021-01-28,352480,FirstDose,1
2021-01-28,355030,FirstDose,1
2021-01-28,410305,FirstDose,1
2021-01-28,410765,FirstDose,1
2021-01-28,510525,FirstDose,1
2021-01-28,520450,FirstDose,1
2021-01-28,521150,FirstDose,1
2021-01-29,130040,FirstDose,8
2021-01-29,130260,FirstDose,11
2021-01-29,130360,FirstDose,1
2021-01-29,130380,FirstDose,4
2021-01-29,140002,FirstDose,198
2021-01-29,140005,FirstDose,53
2021-01-29,140010,FirstDose,500
2021-01-29,140010,SecondDose,2
2021-01-29,140015,FirstDose,46
2021-01-29,140015,SecondDose,1
2021-01-29,140017,FirstDose,20
2021-01-29,140020,FirstDose,82
2021-01-29,140023,FirstDose,3
2021-01-29,140028,FirstDose,1
2021-01-29,140030,FirstDose,13
2021-01-29,140040,FirstDose,41
2021-01-29,140045,FirstDose,82
2021-01-29,140047,FirstDose,10
2021-01-29,140050,FirstDose,2
2021-01-29,140060,FirstDose,2
