Date,IBGE6,Type,N
2021-01-17,280040,FirstDose,2
2021-01-17,280230,FirstDose,1
2021-01-17,280290,FirstDose,1
2021-01-17,280540,FirstDose,1
2021-01-18,280130,FirstDose,1
2021-01-18,280190,FirstDose,2
2021-01-18,280210,FirstDose,1
2021-01-18,280250,SecondDose,2
2021-01-18,280350,FirstDose,1
2021-01-18,280510,FirstDose,1
2021-01-18,280540,FirstDose,1
2021-01-19,120040,FirstDose,1
2021-01-19,150140,FirstDose,1
2021-01-19,160030,FirstDose,1
2021-01-19,172100,FirstDose,2
2021-01-19,230250,FirstDose,1
2021-01-19,231290,FirstDose,1
2021-01-19,240810,FirstDose,1
2021-01-19,250400,FirstDose,1
2021-01-19,270300,FirstDose,1
2021-01-19,270400,FirstDose,1
2021-01-19,270430,FirstDose,2
2021-01-19,270642,FirstDose,1
2021-01-19,270670,FirstDose,1
2021-01-19,270920,FirstDose,1
2021-01-19,280020,FirstDose,1
2021-01-19,280030,FirstDose,365
2021-01-19,280040,FirstDose,1
2021-01-19,280050,FirstDose,11
2021-01-19,280060,FirstDose,13
2021-01-19,280067,FirstDose,4
2021-01-19,280100,FirstDose,1
2021-01-19,280120,FirstDose,2
2021-01-19,280130,FirstDose,2
2021-01-19,280140,FirstDose,1
2021-01-19,280150,FirstDose,1
2021-01-19,280170,FirstDose,2
2021-01-19,280190,FirstDose,3
2021-01-19,280200,FirstDose,2
2021-01-19,280210,FirstDose,21
2021-01-19,280220,FirstDose,6
2021-01-19,280260,FirstDose,4
2021-01-19,280290,FirstDose,16
2021-01-19,280300,FirstDose,2
2021-01-19,280310,FirstDose,2
2021-01-19,280320,FirstDose,13
2021-01-19,280330,FirstDose,4
2021-01-19,280350,FirstDose,9
2021-01-19,280360,FirstDose,5
2021-01-19,280380,FirstDose,2
2021-01-19,280400,FirstDose,1
2021-01-19,280410,FirstDose,14
2021-01-19,280420,FirstDose,2
2021-01-19,280430,FirstDose,1
2021-01-19,280440,FirstDose,1
2021-01-19,280445,FirstDose,16
2021-01-19,280450,FirstDose,8
2021-01-19,280460,FirstDose,17
2021-01-19,280480,FirstDose,47
2021-01-19,280490,FirstDose,9
2021-01-19,280510,FirstDose,1
2021-01-19,280540,FirstDose,9
2021-01-19,280550,FirstDose,2
2021-01-19,280560,FirstDose,6
2021-01-19,280570,FirstDose,8
2021-01-19,280580,FirstDose,12
2021-01-19,280590,FirstDose,1
2021-01-19,280600,FirstDose,2
2021-01-19,280610,FirstDose,2
2021-01-19,280620,FirstDose,1
2021-01-19,280650,First Dose,1
2021-01-19,280650,FirstDose,1
2021-01-19,280660,FirstDose,2
2021-01-19,280670,FirstDose,18
2021-01-19,280680,FirstDose,3
2021-01-19,280710,FirstDose,4
2021-01-19,280740,FirstDose,58
2021-01-19,280760,FirstDose,1
2021-01-19,290030,FirstDose,1
2021-01-19,290160,FirstDose,1
2021-01-19,290320,FirstDose,1
2021-01-19,290490,FirstDose,1
2021-01-19,290780,FirstDose,1
2021-01-19,290890,FirstDose,1
2021-01-19,291080,FirstDose,2
2021-01-19,291180,FirstDose,1
2021-01-19,291185,FirstDose,1
2021-01-19,291470,FirstDose,1
2021-01-19,291650,FirstDose,3
2021-01-19,291810,FirstDose,1
2021-01-19,292310,FirstDose,1
2021-01-19,292380,FirstDose,1
2021-01-19,292400,FirstDose,1
2021-01-19,292650,FirstDose,1
2021-01-19,292740,FirstDose,5
2021-01-19,293070,FirstDose,1
2021-01-19,293200,FirstDose,2
2021-01-19,293330,FirstDose,1
2021-01-19,310930,FirstDose,1
2021-01-19,330455,FirstDose,3
2021-01-19,330580,FirstDose,1
2021-01-19,350320,FirstDose,1
2021-01-19,351050,FirstDose,1
2021-01-19,351907,FirstDose,1
2021-01-19,355030,FirstDose,3
2021-01-19,355100,FirstDose,1
2021-01-19,421320,FirstDose,1
2021-01-19,500270,FirstDose,1
2021-01-20,110020,FirstDose,1
2021-01-20,110028,FirstDose,1
2021-01-20,120040,FirstDose,5
2021-01-20,140010,FirstDose,1
2021-01-20,150680,FirstDose,1
2021-01-20,171820,FirstDose,1
2021-01-20,172100,FirstDose,2
2021-01-20,211065,FirstDose,1
2021-01-20,211220,FirstDose,1
2021-01-20,220230,FirstDose,1
2021-01-20,220390,FirstDose,1
2021-01-20,221100,FirstDose,2
2021-01-20,230250,FirstDose,1
2021-01-20,230440,FirstDose,2
2021-01-20,240325,FirstDose,2
2021-01-20,240710,FirstDose,2
2021-01-20,240810,FirstDose,2
2021-01-20,250700,FirstDose,1
2021-01-20,250750,FirstDose,3
2021-01-20,251365,FirstDose,1
