Date,IBGE6,Type,N
2021-01-17,170035,First Doe,1
2021-01-17,172100,First Doe,1
2021-01-18,170610,First Doe,2
2021-01-18,171190,First Doe,1
2021-01-18,171320,First Doe,1
2021-01-18,171750,First Doe,1
2021-01-18,172100,First Doe,3
2021-01-18,172110,First Doe,1
2021-01-18,172120,First Doe,1
2021-01-19,170190,First Doe,1
2021-01-19,170300,First Doe,1
2021-01-19,170320,First Doe,1
2021-01-19,170950,First Doe,3
2021-01-19,172100,First Doe,1
2021-01-20,170100,First Doe,1
2021-01-20,170110,First Doe,2
2021-01-20,170130,First Doe,21
2021-01-20,170210,First Doe,7
2021-01-20,170305,First Doe,2
2021-01-20,170360,First Doe,5
2021-01-20,170550,First Doe,4
2021-01-20,170560,First Doe,1
2021-01-20,170560,Second Doe,1
2021-01-20,170930,First Doe,3
2021-01-20,170950,First Doe,2
2021-01-20,171320,First Doe,1
2021-01-20,171330,First Doe,1
2021-01-20,171610,First Doe,2
2021-01-20,171650,First Doe,6
2021-01-20,171780,First Doe,1
2021-01-20,171820,First Doe,1
2021-01-20,171830,First Doe,1
2021-01-20,171890,First Doe,2
2021-01-20,172080,First Doe,2
2021-01-20,172100,First Doe,53
2021-01-20,172110,First Doe,2
2021-01-20,520970,First Doe,1
2021-01-21,140010,First Doe,1
2021-01-21,150080,First Doe,1
2021-01-21,150140,First Doe,1
2021-01-21,150420,First Doe,2
2021-01-21,150616,First Doe,1
2021-01-21,150810,First Doe,1
2021-01-21,160030,First Doe,1
2021-01-21,170025,First Doe,5
2021-01-21,170070,First Doe,1
2021-01-21,170100,First Doe,15
2021-01-21,170110,First Doe,10
2021-01-21,170130,First Doe,6
2021-01-21,170190,First Doe,3
2021-01-21,170210,First Doe,130
2021-01-21,170215,First Doe,18
2021-01-21,170220,First Doe,1
2021-01-21,170310,First Doe,7
2021-01-21,170330,First Doe,1
2021-01-21,170360,First Doe,6
2021-01-21,170386,First Doe,3
2021-01-21,170388,First Doe,7
2021-01-21,170550,First Doe,3
2021-01-21,170560,First Doe,2
2021-01-21,170610,First Doe,17
2021-01-21,170625,First Doe,8
2021-01-21,170700,First Doe,5
2021-01-21,170720,First Doe,21
2021-01-21,170730,First Doe,9
2021-01-21,170755,First Doe,1
2021-01-21,170770,First Doe,3
2021-01-21,170820,First Doe,6
2021-01-21,170930,First Doe,1
2021-01-21,170950,First Doe,9
2021-01-21,171070,First Doe,12
2021-01-21,171150,First Doe,1
2021-01-21,171180,First Doe,4
2021-01-21,171190,First Doe,1
2021-01-21,171195,First Doe,7
2021-01-21,171200,First Doe,14
2021-01-21,171330,First Doe,1
2021-01-21,171380,First Doe,6
2021-01-21,171395,First Doe,2
2021-01-21,171420,First Doe,1
2021-01-21,171430,First Doe,1
2021-01-21,171488,First Doe,13
2021-01-21,171500,First Doe,6
2021-01-21,171510,First Doe,7
2021-01-21,171525,First Doe,1
2021-01-21,171610,First Doe,4
2021-01-21,171630,First Doe,6
2021-01-21,171650,First Doe,10
2021-01-21,171660,First Doe,1
