date,ibge,type,n
2021-01-18,120035,1ªDose,1
2021-01-18,120040,1ªDose,1
2021-01-19,110025,1ªDose,1
2021-01-19,120001,1ªDose,1
2021-01-19,120005,1ªDose,1
2021-01-19,120010,1ªDose,3
2021-01-19,120020,1ªDose,4
2021-01-19,120025,1ªDose,3
2021-01-19,120034,1ªDose,3
2021-01-19,120035,1ªDose,1
2021-01-19,120040,1ªDose,7
2021-01-19,120050,1ªDose,22
2021-01-20,110004,1ªDose,1
2021-01-20,110015,1ªDose,1
2021-01-20,110020,1ªDose,12
2021-01-20,110030,1ªDose,1
2021-01-20,120001,1ªDose,2
2021-01-20,120005,1ªDose,36
2021-01-20,120010,1ªDose,9
2021-01-20,120013,1ªDose,2
2021-01-20,120017,1ªDose,15
2021-01-20,120020,1ªDose,168
2021-01-20,120025,1ªDose,14
2021-01-20,120025,2ªDose,1
2021-01-20,120030,1ªDose,3
2021-01-20,120032,1ªDose,26
2021-01-20,120033,1ªDose,18
2021-01-20,120034,1ªDose,11
2021-01-20,120035,1ªDose,1
2021-01-20,120038,1ªDose,4
2021-01-20,120039,1ªDose,2
2021-01-20,120040,1ªDose,568
2021-01-20,120042,1ªDose,8
2021-01-20,120043,1ªDose,7
2021-01-20,120045,1ªDose,5
2021-01-20,120050,1ªDose,46
2021-01-20,120060,1ªDose,7
2021-01-20,120070,1ªDose,1
2021-01-20,120080,1ªDose,6
2021-01-20,130070,1ªDose,1
2021-01-20,130165,1ªDose,4
2021-01-20,130180,1ªDose,1
2021-01-20,130260,1ªDose,5
2021-01-20,170820,1ªDose,1
2021-01-20,211130,1ªDose,1
2021-01-20,230725,1ªDose,1
2021-01-20,240800,1ªDose,1
2021-01-20,240810,1ªDose,1
2021-01-20,250640,1ªDose,1
2021-01-20,292630,1ªDose,1
2021-01-20,310620,1ªDose,1
2021-01-20,352050,1ªDose,1
2021-01-20,352900,1ªDose,1
2021-01-20,353950,1ªDose,1
2021-01-20,354660,1ªDose,1
2021-01-20,355030,1ªDose,2
2021-01-20,410480,1ªDose,1
2021-01-20,410690,1ªDose,1
2021-01-20,430750,1ªDose,1
2021-01-20,431410,1ªDose,1
2021-01-20,431490,1ªDose,1
2021-01-20,510250,1ªDose,2
2021-01-20,510642,1ªDose,1
