IBGE,Municipio,population
1100015,Alta Floresta D'Oeste,22516
1100023,Ariquemes,111148
1100031,Cabixi,5067
1100049,Cacoal,86416
1100056,Cerejeiras,16088
1100064,Colorado do Oeste,15213
1100072,Corumbiara,7052
1100080,Costa Marques,19255
1100098,Espigão D'Oeste,33009
1100106,Guajará-Mirim,46930
1100114,Jaru,51469
1100122,Ji-Paraná,131026
1100130,Machadinho D'Oeste,41724
1100148,Nova Brasilândia D'Oeste,20504
1100155,Ouro Preto do Oeste,35445
1100189,Pimenta Bueno,37098
1100205,Porto Velho,548952
1100254,Presidente Médici,18165
1100262,Rio Crespo,3843
1100288,Rolim de Moura,55748
1100296,Santa Luzia D'Oeste,5942
1100304,Vilhena,104517
1100320,São Miguel do Guaporé,23147
1100338,Nova Mamoré,32184
1100346,Alvorada D'Oeste,13807
1100379,Alto Alegre dos Parecis,13268
1100403,Alto Paraíso,22258
1100452,Buritis,41043
1100502,Novo Horizonte do Oeste,8125
1100601,Cacaulândia,6307
1100700,Campo Novo de Rondônia,14391
1100809,Candeias do Jamari,28068
1100908,Castanheiras,2923
1100924,Chupinguaia,11755
1100940,Cujubim,27131
1101005,Governador Jorge Teixeira,7130
1101104,Itapuã do Oeste,10819
1101203,Ministro Andreazza,9461
1101302,Mirante da Serra,10691
1101401,Monte Negro,16158
1101435,Nova União,6822
1101450,Parecis,6319
1101468,Pimenteiras do Oeste,2127
1101476,Primavera de Rondônia,2697
1101484,São Felipe D'Oeste,4962
1101492,São Francisco do Guaporé,21088
1101500,Seringueiras,11846
1101559,Teixeirópolis,4160
1101609,Theobroma,10348
1101708,Urupá,11081
1101757,Vale do Anari,11545
1101807,Vale do Paraíso,6490
1200013,Acrelândia,15721
1200054,Assis Brasil,7649
1200104,Brasiléia,27123
1200138,Bujari,10572
1200179,Capixaba,12280
1200203,Cruzeiro do Sul,89760
1200252,Epitaciolândia,18979
1200302,Feijó,34986
1200328,Jordão,8628
1200336,Mâncio Lima,19643
1200344,Manoel Urbano,9701
1200351,Marechal Thaumaturgo,19727
1200385,Plácido de Castro,20147
1200393,Porto Walter,12497
1200401,Rio Branco,419452
1200427,Rodrigues Alves,19767
1200435,Santa Rosa do Purus,6893
1200450,Senador Guiomard,23446
1200500,Sena Madureira,47168
1200609,Tarauacá,43730
1200708,Xapuri,19866
1200807,Porto Acre,19141
1300029,Alvarães,16396
1300060,Amaturá,11934
1300086,Anamã,14292
1300102,Anori,21937
1300144,Apuí,22739
1300201,Atalaia do Norte,20868
1300300,Autazes,41005
1300409,Barcelos,27772
1300508,Barreirinha,32919
1300607,Benjamin Constant,44873
1300631,Beruri,20503
1300680,Boa Vista do Ramos,20040
1300706,Boca do Acre,34958
1300805,Borba,42328
1300839,Caapiranga,13482
1300904,Canutama,15981
1301001,Carauari,28719
1301100,Careiro,38820
1301159,Careiro da Várzea,31459
1301209,Coari,86713
1301308,Codajás,29691
1301407,Eirunepé,36121
1301506,Envira,20748
1301605,Fonte Boa,16409
1301654,Guajará,17193
1301704,Humaitá,57195
1301803,Ipixuna,31172
1301852,Iranduba,49718
1301902,Itacoatiara,104046
1301951,Itamarati,7777
1302009,Itapiranga,9312
1302108,Japurá,1755
1302207,Juruá,15495
1302306,Jutaí,13462
1302405,Lábrea,47685
1302504,Manacapuru,99613
1302553,Manaquiri,33981
1302603,Manaus,2255903
1302702,Manicoré,57405
1302801,Maraã,18298
1302900,Maués,66159
1303007,Nhamundá,21710
1303106,Nova Olinda do Norte,38665
1303205,Novo Airão,20395
1303304,Novo Aripuanã,26443
1303403,Parintins,116439
1303502,Pauini,19616
1303536,Presidente Figueiredo,38095
1303569,Rio Preto da Eva,34856
1303601,Santa Isabel do Rio Negro,26566
1303700,Santo Antônio do Içá,20889
1303809,São Gabriel da Cachoeira,47031
1303908,São Paulo de Olivença,40837
1303957,São Sebastião do Uatumã,14678
1304005,Silves,9289
1304062,Tabatinga,68502
1304104,Tapauá,16876
1304203,Tefé,59250
1304237,Tonantins,19038
1304260,Uarini,13839
1304302,Urucará,16007
1304401,Urucurituba,24098
1400027,Amajari,13561
1400050,Alto Alegre,15249
1400100,Boa Vista,436591
1400159,Bonfim,12701
1400175,Cantá,19257
1400209,Caracaraí,22635
1400233,Caroebe,10595
1400282,Iracema,12637
1400308,Mucajaí,18482
1400407,Normandia,11772
1400456,Pacaraima,20108
1400472,Rorainópolis,31387
1400506,São João da Baliza,8492
1400605,São Luiz,8232
1400704,Uiramutã,11014
1500107,Abaetetuba,160439
1500131,Abel Figueiredo,7536
1500206,Acará,55744
1500305,Afuá,39910
1500347,Água Azul do Norte,27797
1500404,Alenquer,57390
1500503,Almeirim,34044
1500602,Altamira,117320
1500701,Anajás,30091
1500800,Ananindeua,540410
1500859,Anapu,29312
1500909,Augusto Corrêa,46937
1500958,Aurora do Pará,32200
1501006,Aveiro,16421
1501105,Bagre,31967
1501204,Baião,49454
1501253,Bannach,3239
1501303,Barcarena,129333
1501402,Belém,1506420
1501451,Belterra,17944
1501501,Benevides,64780
1501576,Bom Jesus do Tocantins,17254
1501600,Bonito,16769
1501709,Bragança,130122
1501725,Brasil Novo,14883
1501758,Brejo Grande do Araguaia,7357
1501782,Breu Branco,68597
1501808,Breves,104280
1501907,Bujaru,29717
1501956,Cachoeira do Piriá,35307
1502004,Cachoeira do Arari,24355
1502103,Cametá,140814
1502152,Canaã dos Carajás,39103
1502202,Capanema,69828
1502301,Capitão Poço,54545
1502400,Castanhal,205667
1502509,Chaves,24175
1502608,Colares,12175
1502707,Conceição do Araguaia,48115
1502756,Concórdia do Pará,34236
1502764,Cumaru do Norte,14044
